code|name|date|price|ma3|ma5|ma7|ma20|ma50|ma60|ma120|ma200
382480.KQ|G.I.Tech|2021-10-21|7127.3330078125|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-10-22|6167.8837890625|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-10-25|6158.09375|6484.436848958333|0.0|0.0|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-10-26|6021.029296875|6115.6689453125|0.0|0.0|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-10-27|5717.53076171875|5965.55126953125|6238.37412109375|0.0|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-10-28|5639.20849609375|5792.589518229167|5940.74921875|0.0|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-10-29|5286.7578125|5547.832356770833|5764.5240234375|6016.833844866072|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-01|4709.13037109375|5211.698893229167|5474.73134765625|5671.376325334822|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-02|4934.30712890625|4976.731770833333|5257.3869140625|5495.151088169643|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-03|4767.8720703125|4803.769856770833|5067.45517578125|5296.547991071428|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-04|5002.8388671875|4901.672688802083|4940.18125|5151.092215401785|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-05|4748.2919921875|4839.667643229167|4832.4880859375|5012.629534040178|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-08|4523.11474609375|4758.081868489583|4795.2849609375|4853.187569754465|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-09|4601.43701171875|4624.28125|4728.7109375|4755.284598214285|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-10|4669.96923828125|4598.173665364583|4709.13037109375|4749.690150669643|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-11|4532.90478515625|4601.43701171875|4615.1435546875|4692.346958705357|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-12|4601.43701171875|4601.43701171875|4585.77255859375|4668.570521763393|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-15|4581.8564453125|4572.066080729167|4597.5208984375|4608.43017578125|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-16|5110.53271484375|4764.608723958333|4699.3400390625|4660.178850446428|0.0|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-17|5002.8388671875|4898.409342447917|4765.91396484375|4728.710867745535|5195.218408203125|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-18|5267.17724609375|5126.849609375|4912.76845703125|4823.816615513393|5102.210620117187|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-19|5061.5810546875|5110.532389322917|5004.797265625|4879.761160714285|5046.895483398437|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-22|4953.88818359375|5094.215494791667|5079.20361328125|4939.901646205357|4986.685205078125|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-23|5237.80615234375|5084.425130208333|5104.65830078125|5030.8115234375|4947.5240478515625|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-24|5071.37109375|5087.6884765625|5118.36474609375|5100.7421875|4915.216064453125|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-25|4983.2587890625|5097.478678385417|5061.5810546875|5082.560198102678|4882.4185791015625|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-26|4777.66259765625|4944.097493489583|5004.79736328125|5050.392159598215|4856.963818359375|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-29|4513.32470703125|4758.08203125|4916.68466796875|4942.698939732143|4847.17353515625|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-11-30|4297.93798828125|4529.641764322917|4728.71103515625|4833.607073102678|4815.355078125|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-01|4190.24462890625|4333.835774739583|4552.4857421875|4724.51513671875|4786.473706054688|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-02|4307.728515625|4265.3037109375|4417.3796875|4591.646902901785|4751.718188476562|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-03|4327.30908203125|4275.094075520833|4327.308984375|4485.352329799107|4730.66904296875|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-06|4317.5185546875|4317.518717447917|4288.14775390625|4390.24658203125|4720.389233398438|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-07|4376.26025390625|4340.362630208333|4303.81220703125|4332.903390066965|4709.130395507813|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-08|4454.58251953125|4382.787109375|4356.67978515625|4324.511648995535|4698.361059570312|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-09|4503.5341796875|4444.792317708333|4395.84091796875|4353.882533482143|4696.892529296875|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-10|4542.69580078125|4500.270833333333|4438.91826171875|4404.232700892857|4693.95546875|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-13|4699.34033203125|4581.856770833333|4515.2826171875|4460.17724609375|4699.829663085938|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-14|4621.01806640625|4621.01806640625|4564.2341796875|4502.135672433035|4675.353930664062|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-15|4444.79248046875|4588.383626302083|4562.276171875|4520.317661830357|4647.451611328125|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-16|4395.8408203125|4487.217122395833|4540.7375|4523.114885602678|4603.884790039063|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-17|4366.47021484375|4402.367838541667|4505.4923828125|4510.527413504465|4569.129248046875|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-20|4327.30908203125|4363.206705729167|4431.0861328125|4485.352399553572|4537.80029296875|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-21|4425.2119140625|4372.9970703125|4391.92490234375|4468.568987165178|4497.170581054687|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-22|4366.47021484375|4372.9970703125|4376.26044921875|4421.01611328125|4461.925537109375|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-23|4317.5185546875|4369.733561197917|4360.59599609375|4377.659040178572|4428.638525390625|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-24|4268.5673828125|4317.518717447917|4341.0154296875|4352.484026227678|4403.183764648437|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-27|4200.03564453125|4262.04052734375|4315.5607421875|4324.511858258928|4387.519311523438|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-28|4248.98681640625|4239.196614583333|4280.31572265625|4307.728515625|4385.071752929687|0.0|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-29|4327.30908203125|4258.777180989583|4272.48349609375|4307.728515625|4391.924975585937|4801.94240234375|0.0|0.0|0.0
382480.KQ|G.I.Tech|2021-12-30|4513.32470703125|4363.206868489583|4311.6447265625|4320.316057477678|4402.20478515625|4749.662236328125|0.0|0.0|0.0
382480.KQ|G.I.Tech|2022-01-04|4601.43701171875|4480.690266927083|4378.21865234375|4353.882742745535|4415.911181640625|4718.33330078125|0.0|0.0|0.0
382480.KQ|G.I.Tech|2022-01-05|4552.48583984375|4555.749186197917|4448.70869140625|4387.449497767857|4427.6595458984375|4686.221142578125|0.0|0.0|0.0
382480.KQ|G.I.Tech|2022-01-06|4523.11474609375|4559.012532552083|4503.53427734375|4423.813406808035|4435.002270507813|4656.2628515625|0.0|0.0|0.0
382480.KQ|G.I.Tech|2022-01-07|4581.8564453125|4552.485677083333|4554.44375|4478.359235491072|4441.365966796875|4633.549365234375|0.0|0.0|0.0
382480.KQ|G.I.Tech|2022-01-10|4425.2119140625|4510.06103515625|4536.82119140625|4503.534249441965|4437.449853515625|4609.26943359375|0.0|0.0|0.0
382480.KQ|G.I.Tech|2022-01-11|4288.14794921875|4431.73876953125|4474.16337890625|4497.939801897322|4424.7224609375|4589.297236328125|0.0|0.0|0.0
382480.KQ|G.I.Tech|2022-01-12|4464.373046875|4392.57763671875|4456.5408203125|4490.946707589285|4412.974096679687|4584.40208984375|0.0|0.0|0.0
382480.KQ|G.I.Tech|2022-01-13|5120.32275390625|4624.28125|4575.982421875|4565.0732421875|4437.9393310546875|4588.12240234375|0.0|0.0|0.0
382480.KQ|G.I.Tech|2022-01-14|5110.53271484375|4898.409505208333|4681.71767578125|4644.794224330357|4471.226342773438|4594.975615234375|4771.2987874348955|0.0|0.0
382480.KQ|G.I.Tech|2022-01-17|6637.81787109375|5622.89111328125|5124.2388671875|4946.894670758928|4583.3251953125|4627.6751953125|4763.140201822916|0.0|0.0
382480.KQ|G.I.Tech|2022-01-18|6637.81787109375|6128.722819010417|5594.1728515625|5240.603445870535|4696.892578125|4665.465712890625|4770.972436523438|0.0|0.0
382480.KQ|G.I.Tech|2022-01-19|5795.85302734375|6357.162923177083|5860.46884765625|5436.409319196428|4770.319775390625|4690.920478515625|4764.935091145833|0.0|0.0
382480.KQ|G.I.Tech|2022-01-20|5668.5791015625|6034.083333333333|5970.1201171875|5633.61376953125|4832.488134765625|4712.2633203125|4759.060921223959|0.0|0.0
382480.KQ|G.I.Tech|2022-01-21|5257.38671875|5573.939615885417|5999.49091796875|5746.901436941965|4877.033959960938|4724.011669921875|4751.391853841146|0.0|0.0
382480.KQ|G.I.Tech|2022-01-24|5394.45068359375|5440.138834635417|5750.81748046875|5786.062569754465|4930.88056640625|4741.242587890625|4747.312556966146|0.0|0.0
382480.KQ|G.I.Tech|2022-01-25|5541.30517578125|5397.714192708333|5531.51494140625|5847.601492745535|4994.5174560546875|4760.039951171875|4751.555013020833|0.0|0.0
382480.KQ|G.I.Tech|2022-01-26|5188.85498046875|5374.870279947917|5410.11533203125|5640.606794084822|5043.958422851562|4772.179921875|4759.550423177084|0.0|0.0
382480.KQ|G.I.Tech|2022-01-27|4366.47021484375|5032.210123697917|5149.6935546875|5316.128557477678|5049.832592773438|4757.298671875|4750.086474609375|0.0|0.0
382480.KQ|G.I.Tech|2022-01-28|4141.29345703125|4565.53955078125|4926.47490234375|5079.762904575893|5040.531811523438|4740.067763671875|4739.643497721354|0.0|0.0
382480.KQ|G.I.Tech|2022-02-03|4229.40625|4245.723307291667|4693.466015625|4874.166782924107|5026.335888671875|4719.31234375|4726.752954101563|0.0|0.0
382480.KQ|G.I.Tech|2022-02-04|4297.93798828125|4222.879231770833|4444.792578125|4737.102678571428|5011.1609375|4704.039482421875|4719.247054036458|0.0|0.0
382480.KQ|G.I.Tech|2022-02-07|4209.82568359375|4245.723307291667|4248.98671875|4567.870535714285|4994.0279296875|4689.158232421875|4714.025569661459|0.0|0.0
382480.KQ|G.I.Tech|2022-02-08|4062.971435546875|4190.245035807292|4188.286962890625|4356.68000139509|4971.020764160156|4665.6615380859375|4705.051143391927|0.0|0.0
382480.KQ|G.I.Tech|2022-02-09|4121.712890625|4131.503336588542|4184.370849609375|4204.23113141741|4948.013586425781|4646.6683740234375|4695.913537597657|0.0|0.0
382480.KQ|G.I.Tech|2022-02-10|4014.019775390625|4066.2347005208335|4141.2935546875|4153.881068638393|4927.4539794921875|4627.28359375|4687.265454101563|0.0|0.0
382480.KQ|G.I.Tech|2022-02-11|3798.63330078125|3978.1219889322915|4041.4326171875|4104.929617745535|4902.978247070312|4607.7030078125|4673.885392252604|0.0|0.0
382480.KQ|G.I.Tech|2022-02-14|3544.085693359375|3785.57958984375|3908.284619140625|4007.026681082589|4856.963879394531|4588.318227539063|4656.589213053386|0.0|0.0
382480.KQ|G.I.Tech|2022-02-15|3377.65087890625|3573.4566243489585|3771.2205078125|3875.5570940290177|4769.830285644532|4569.912485351562|4627.707849121094|0.0|0.0
382480.KQ|G.I.Tech|2022-02-16|3651.779052734375|3524.5052083333335|3677.233740234375|3795.8361467633927|4696.892602539063|4559.143173828125|4605.190185546875|0.0|0.0
382480.KQ|G.I.Tech|2022-02-17|3720.31103515625|3583.2469889322915|3618.4919921875|3746.8846609933034|4551.017260742187|4547.39482421875|4579.40908203125|0.0|0.0
382480.KQ|G.I.Tech|2022-02-18|4062.971435546875|3811.6871744791665|3671.359619140625|3738.4930245535716|4422.274938964843|4542.1080712890625|4562.765588378907|0.0|0.0
382480.KQ|G.I.Tech|2022-02-21|4160.8740234375|3981.385498046875|3794.71728515625|3759.4722028459823|4340.525988769531|4538.9751806640625|4549.548685709636|0.0|0.0
382480.KQ|G.I.Tech|2022-02-22|3994.439208984375|4072.7615559895835|3918.074951171875|3787.4444754464284|4256.818994140625|4531.338759765625|4528.825903320312|0.0|0.0
382480.KQ|G.I.Tech|2022-02-23|3955.278076171875|4036.86376953125|3978.774755859375|3846.1862444196427|4191.713562011719|4521.352670898437|4510.224353027344|0.0|0.0
382480.KQ|G.I.Tech|2022-02-24|3779.052734375|3909.5900065104165|3990.523095703125|3903.529366629464|4110.943664550781|4506.863041992187|4490.154252115885|0.0|0.0
382480.KQ|G.I.Tech|2022-02-25|3808.423828125|3847.5848795572915|3939.61357421875|3925.9071916852677|4024.299597167969|4492.177602539063|4474.000272623698|0.0|0.0
382480.KQ|G.I.Tech|2022-02-28|3837.794677734375|3808.4237467447915|3874.997705078125|3942.6905691964284|3956.74658203125|4474.946689453125|4462.741438802083|0.0|0.0
382480.KQ|G.I.Tech|2022-03-02|3984.64892578125|3876.955810546875|3873.0396484375|3931.501639229911|3937.655517578125|4462.219306640625|4457.519954427084|0.0|0.0
382480.KQ|G.I.Tech|2022-03-03|4102.13232421875|3974.858642578125|3902.410498046875|3923.1099679129466|3935.6974609375|4455.366103515625|4456.051416015625|0.0|0.0
382480.KQ|G.I.Tech|2022-03-04|4209.82568359375|4098.868977864583|3988.565087890625|3953.879464285714|3934.7184326171873|4451.64580078125|4454.419702148438|0.0|0.0
382480.KQ|G.I.Tech|2022-03-07|4072.76171875|4128.239908854167|4041.432666015625|3970.662841796875|3923.459619140625|4445.771630859375|4450.17724609375|0.0|0.0
382480.KQ|G.I.Tech|2022-03-08|4082.5517578125|4121.713053385417|4090.38408203125|4014.019845145089|3917.0959228515626|4440.876484375|4446.2611328125|0.0|0.0
382480.KQ|G.I.Tech|2022-03-10|4121.712890625|4092.3421223958335|4117.796875|4058.7754255022323|3920.032995605469|4434.80650390625|4442.0186767578125|0.0|0.0
382480.KQ|G.I.Tech|2022-03-11|4053.1806640625|4085.8151041666665|4108.00654296875|4089.544852120536|3916.6063842773438|4428.540712890625|4435.328645833333|0.0|0.0
382480.KQ|G.I.Tech|2022-03-14|3886.74609375|4020.5465494791665|4043.390625|4075.5587332589284|3910.2427001953124|4419.925263671875|4425.048844401042|0.0|0.0
382480.KQ|G.I.Tech|2022-03-15|3876.955810546875|3938.9608561197915|4004.229443359375|4043.3906598772323|3914.158825683594|4412.093032226562|4413.953177897135|0.0|0.0
382480.KQ|G.I.Tech|2022-03-16|3886.74609375|3883.482666015625|3965.068310546875|3997.2364327566966|3931.291845703125|4405.827241210937|4400.409940592448|0.0|0.0
382480.KQ|G.I.Tech|2022-03-17|3916.116943359375|3893.27294921875|3923.94912109375|3974.8586077008927|3958.2151489257812|4399.16984375|4388.661588541667|0.0|0.0
382480.KQ|G.I.Tech|2022-03-18|4111.92236328125|3971.5951334635415|3935.6974609375|3979.0544084821427|3981.222314453125|4394.862109375|4383.113753255208|0.0|0.0
382480.KQ|G.I.Tech|2022-03-21|4121.712890625|4049.9173990885415|3982.6908203125|3979.0544084821427|4001.2924072265623|4387.029873046875|4378.544954427083|0.0|0.0
382480.KQ|G.I.Tech|2022-03-22|4151.083984375|4128.23974609375|4037.516455078125|3993.040597098214|4005.698034667969|4378.0228125|4374.955183919271|0.0|0.0
382480.KQ|G.I.Tech|2022-03-23|4180.45458984375|4151.083821614583|4096.258154296875|4034.998953683036|4006.6770629882812|4370.5821875|4372.5076090494795|0.0|0.0
382480.KQ|G.I.Tech|2022-03-24|4239.1962890625|4190.244954427083|4160.8740234375|4086.7475934709823|4018.9149169921875|4364.903818359375|4369.4073486328125|0.0|0.0
382480.KQ|G.I.Tech|2022-03-25|4386.05078125|4268.567220052083|4215.69970703125|4158.07683454241|4040.4535522460938|4360.987705078125|4369.73369140625|0.0|0.0
