[2024-07-11 22:42:55] udpate price_detail: 440790.KQ, row: 3
[2024-07-11 22:42:59] udpate price_detail: 060150.KQ, row: 3
[2024-07-11 22:43:03] udpate price_detail: 004780.KQ, row: 3
[2024-07-11 22:43:06] udpate price_detail: 032850.KQ, row: 3
[2024-07-11 22:43:10] udpate price_detail: 442770.KQ, row: 3
[2024-07-11 22:43:14] udpate price_detail: 310210.KQ, row: 3
[2024-07-11 22:43:18] udpate price_detail: 900070.KQ, row: 3
[2024-07-11 22:43:22] udpate price_detail: 900260.KQ, row: 3
[2024-07-11 22:43:25] udpate price_detail: 038110.KQ, row: 3
[2024-07-11 22:43:29] udpate price_detail: 198080.KQ, row: 3
[2024-07-11 22:43:33] udpate price_detail: 307280.KQ, row: 3
[2024-07-11 22:43:38] udpate price_detail: 263770.KQ, row: 3
[2024-07-11 22:43:43] udpate price_detail: 007370.KQ, row: 3
[2024-07-11 22:43:46] udpate price_detail: 067570.KQ, row: 3
[2024-07-11 22:43:50] udpate price_detail: 057030.KQ, row: 3
[2024-07-11 22:43:54] udpate price_detail: 239890.KQ, row: 3
[2024-07-11 22:43:58] udpate price_detail: 191410.KQ, row: 3
[2024-07-11 22:44:02] udpate price_detail: 310870.KQ, row: 3
[2024-07-11 22:44:06] udpate price_detail: 101930.KQ, row: 3
[2024-07-11 22:44:10] udpate price_detail: 315640.KQ, row: 3
[2024-07-11 22:44:14] udpate price_detail: 241690.KQ, row: 3
[2024-07-11 22:44:18] udpate price_detail: 014620.KQ, row: 3
[2024-07-11 22:44:22] udpate price_detail: 012340.KQ, row: 3
[2024-07-11 22:44:26] udpate price_detail: 023910.KQ, row: 3
[2024-07-11 22:44:32] udpate price_detail: 005710.KQ, row: 3
[2024-07-11 22:44:36] udpate price_detail: 158430.KQ, row: 3
[2024-07-11 22:44:40] udpate price_detail: 425040.KQ, row: 3
[2024-07-11 22:44:44] udpate price_detail: 900290.KQ, row: 3
[2024-07-11 22:44:48] udpate price_detail: 101330.KQ, row: 3
[2024-07-11 22:44:52] udpate price_detail: 950170.KQ, row: 3
[2024-07-11 22:44:56] udpate price_detail: 119500.KQ, row: 3
[2024-07-11 22:45:00] udpate price_detail: 082920.KQ, row: 3
[2024-07-11 22:45:05] udpate price_detail: 373170.KQ, row: 3
[2024-07-11 22:45:09] udpate price_detail: 034950.KQ, row: 3
[2024-07-11 22:45:12] udpate price_detail: 417500.KQ, row: 3
[2024-07-11 22:45:17] udpate price_detail: 210120.KQ, row: 3
[2024-07-11 22:45:21] udpate price_detail: 030520.KQ, row: 3
[2024-07-11 22:45:25] udpate price_detail: 469480.KQ, row: 3
[2024-07-11 22:45:29] udpate price_detail: 299910.KQ, row: 3
[2024-07-11 22:45:33] udpate price_detail: 065770.KQ, row: 3
[2024-07-11 22:45:37] udpate price_detail: 372800.KQ, row: 3
[2024-07-11 22:45:42] udpate price_detail: 445180.KQ, row: 3
[2024-07-11 22:45:46] udpate price_detail: 474660.KQ, row: 3
[2024-07-11 22:45:50] udpate price_detail: 048470.KQ, row: 3
[2024-07-11 22:45:54] udpate price_detail: 319400.KQ, row: 3
[2024-07-11 22:45:59] udpate price_detail: 005990.KQ, row: 3
[2024-07-11 22:46:03] udpate price_detail: 038950.KQ, row: 3
[2024-07-11 22:46:07] udpate price_detail: 005670.KQ, row: 3
[2024-07-11 22:46:12] udpate price_detail: 064550.KQ, row: 3
[2024-07-11 22:46:16] udpate price_detail: 043610.KQ, row: 3
[2024-07-11 22:46:20] udpate price_detail: 052330.KQ, row: 3
[2024-07-11 22:46:25] udpate price_detail: 126340.KQ, row: 3
[2024-07-11 22:46:29] udpate price_detail: 234690.KQ, row: 3
[2024-07-11 22:46:33] udpate price_detail: 023760.KQ, row: 3
[2024-07-11 22:46:38] udpate price_detail: 199730.KQ, row: 3
[2024-07-11 22:46:42] udpate price_detail: 107640.KQ, row: 3
[2024-07-11 22:46:46] udpate price_detail: 010240.KQ, row: 3
[2024-07-11 22:46:50] udpate price_detail: 019540.KQ, row: 3
[2024-07-11 22:46:55] udpate price_detail: 402490.KQ, row: 3
[2024-07-11 22:47:00] udpate price_detail: 041190.KQ, row: 3
[2024-07-11 22:47:04] udpate price_detail: 049630.KQ, row: 3
[2024-07-11 22:47:09] udpate price_detail: 082270.KQ, row: 3
[2024-07-11 22:47:13] udpate price_detail: 098660.KQ, row: 3
[2024-07-11 22:47:17] udpate price_detail: 023790.KQ, row: 3
[2024-07-11 22:47:22] udpate price_detail: 066620.KQ, row: 3
[2024-07-11 22:47:26] udpate price_detail: 322510.KQ, row: 3
[2024-07-11 22:47:31] udpate price_detail: 383310.KQ, row: 3
[2024-07-11 22:47:36] udpate price_detail: 378340.KQ, row: 3
[2024-07-11 22:47:41] udpate price_detail: 376290.KQ, row: 3
[2024-07-11 22:47:46] udpate price_detail: 147830.KQ, row: 3
[2024-07-11 22:47:50] udpate price_detail: 290550.KQ, row: 3
