code|name|date|price|ma3|ma5|ma7|ma20|ma50|ma60|ma120|ma200
204630.KQ|STUDIO SANTA CLAUS|2021-07-06|2820.833251953125|2841.6666666666665|2839.166650390625|2765.4761788504466|2270.2083374023437|2108.0|2140.138887532552|2045.555561319987|1938.5416723632814
204630.KQ|STUDIO SANTA CLAUS|2021-07-07|2829.166748046875|2850.0|2840.833349609375|2822.6190359933034|2320.4166748046873|2120.0|2147.361112467448|2054.8263956705728|1942.7500061035157
204630.KQ|STUDIO SANTA CLAUS|2021-07-08|2708.333251953125|2786.111083984375|2812.5|2819.047607421875|2363.3333374023437|2131.25|2153.125|2062.7083394368487|1946.2291723632814
204630.KQ|STUDIO SANTA CLAUS|2021-07-09|2775.0|2770.8333333333335|2806.666650390625|2812.5|2409.5833374023437|2144.3333349609375|2159.5833333333335|2071.2500061035157|1950.0208392333984
204630.KQ|STUDIO SANTA CLAUS|2021-07-12|2666.666748046875|2716.6666666666665|2760.0|2786.3095354352677|2448.5416748046873|2155.416669921875|2165.0|2078.1944508870442|1952.9166729736328
204630.KQ|STUDIO SANTA CLAUS|2021-07-13|2641.666748046875|2694.4444986979165|2724.16669921875|2763.0952497209823|2481.4583435058594|2167.3333374023437|2171.6666666666665|2084.3055623372397|1956.02083984375
204630.KQ|STUDIO SANTA CLAUS|2021-07-14|2500.0|2602.77783203125|2658.333349609375|2705.952392578125|2506.6666748046873|2176.5000048828124|2176.319445800781|2089.8611175537108|1958.89583984375
204630.KQ|STUDIO SANTA CLAUS|2021-07-15|2479.166748046875|2540.27783203125|2612.500048828125|2657.142892020089|2530.6250122070314|2186.166672363281|2180.416670735677|2095.104173787435|1962.2916735839844
204630.KQ|STUDIO SANTA CLAUS|2021-07-16|2479.166748046875|2486.1111653645835|2553.3333984375|2607.142892020089|2552.708349609375|2194.0000073242186|2183.541670735677|2099.375008138021|1965.7083404541015
204630.KQ|STUDIO SANTA CLAUS|2021-07-19|2345.833251953125|2434.7222493489585|2489.16669921875|2555.357177734375|2563.1250122070314|2199.916672363281|2184.305558268229|2102.3958404541017|1968.4791735839844
204630.KQ|STUDIO SANTA CLAUS|2021-07-20|2337.5|2387.5|2428.333349609375|2492.857177734375|2574.1666748046873|2203.166672363281|2186.041670735677|2105.3472290039062|1971.2083404541015
204630.KQ|STUDIO SANTA CLAUS|2021-07-21|2350.0|2344.4444173177085|2398.333349609375|2447.619070870536|2583.5416748046873|2209.83333984375|2188.055558268229|2107.7083394368487|1974.0000073242188
204630.KQ|STUDIO SANTA CLAUS|2021-07-22|2591.666748046875|2426.388916015625|2420.833349609375|2440.4762137276784|2605.0000122070314|2220.1666748046873|2195.486116536458|2112.0833394368487|1977.9375079345702
204630.KQ|STUDIO SANTA CLAUS|2021-07-23|2675.0|2538.888916015625|2460.0|2465.4762137276784|2636.8750122070314|2233.083342285156|2204.7222290039062|2118.1944508870442|1981.9375079345702
204630.KQ|STUDIO SANTA CLAUS|2021-07-26|2741.666748046875|2669.4444986979165|2539.16669921875|2502.9762137276784|2652.5000122070314|2246.5000122070314|2215.2083414713543|2124.479173787435|1986.2291748046875
204630.KQ|STUDIO SANTA CLAUS|2021-07-27|2583.333251953125|2666.6666666666665|2588.333349609375|2517.8571428571427|2645.0000122070314|2256.916677246094|2224.1666727701822|2128.680561319987|1989.7708410644532
204630.KQ|STUDIO SANTA CLAUS|2021-07-28|2529.166748046875|2618.0555826822915|2624.16669921875|2544.0476422991073|2630.4166870117188|2266.0000122070314|2232.2916748046873|2132.63889465332|1993.0625079345702
204630.KQ|STUDIO SANTA CLAUS|2021-07-29|2479.166748046875|2530.5555826822915|2601.66669921875|2564.2857491629466|2611.8750244140624|2274.833347167969|2240.3472310384113|2137.0486175537108|1996.1041748046875
204630.KQ|STUDIO SANTA CLAUS|2021-07-30|2433.333251953125|2480.5555826822915|2553.333349609375|2576.190499441964|2593.333349609375|2282.8333447265627|2246.1111185709638|2141.07639465332|1999.1458410644532
204630.KQ|STUDIO SANTA CLAUS|2021-08-02|2400.0|2437.5|2485.0|2548.8095354352677|2568.333349609375|2291.916677246094|2251.944451904297|2145.13889465332|2002.3541741943359
204630.KQ|STUDIO SANTA CLAUS|2021-08-03|2458.333251953125|2430.5555013020835|2460.0|2517.8571428571427|2550.208349609375|2303.500009765625|2256.6666727701822|2150.173616536458|2005.8125073242188
204630.KQ|STUDIO SANTA CLAUS|2021-08-04|2433.333251953125|2430.5555013020835|2440.83330078125|2473.809500558036|2530.4166748046873|2313.833342285156|2263.611116536458|2154.965282185872|2009.2500067138672
204630.KQ|STUDIO SANTA CLAUS|2021-08-05|2575.0|2488.8888346354165|2459.999951171875|2472.6190359933034|2523.7500122070314|2327.500009765625|2271.9444498697917|2161.0763936360677|2013.5000067138672
204630.KQ|STUDIO SANTA CLAUS|2021-08-06|2500.0|2502.7777506510415|2473.33330078125|2468.4523577008927|2510.0000122070314|2339.583342285156|2279.7916727701822|2166.7361155192057|2017.4166735839844
204630.KQ|STUDIO SANTA CLAUS|2021-08-09|2562.5|2545.8333333333335|2505.83330078125|2480.357107979911|2504.7916748046873|2352.6666748046873|2287.9861185709638|2173.2986155192057|2021.6041735839844
204630.KQ|STUDIO SANTA CLAUS|2021-08-10|2495.833251953125|2519.4444173177085|2513.33330078125|2489.2856794084823|2497.5|2364.33333984375|2295.2083394368487|2178.5069478352866|2025.6041729736328
204630.KQ|STUDIO SANTA CLAUS|2021-08-11|2495.833251953125|2518.0555013020835|2525.83330078125|2502.976143973214|2497.2916625976563|2375.916672363281|2302.222226969401|2183.4722249348956|2029.7708392333984
204630.KQ|STUDIO SANTA CLAUS|2021-08-12|2479.166748046875|2490.2777506510415|2506.666650390625|2505.9523577008927|2497.2916625976563|2389.0000073242186|2309.5833394368487|2188.645836385091|2034.20833984375
204630.KQ|STUDIO SANTA CLAUS|2021-08-13|2412.5|2462.5|2489.166650390625|2502.9761788504466|2493.9583251953127|2400.58333984375|2315.902783203125|2193.4722249348956|2037.9375067138672
204630.KQ|STUDIO SANTA CLAUS|2021-08-17|2458.333251953125|2450.0|2468.33330078125|2486.309500558036|2499.5833251953127|2413.0833374023437|2324.4444478352866|2199.479168701172|2041.83333984375
204630.KQ|STUDIO SANTA CLAUS|2021-08-18|2591.666748046875|2487.5|2487.5|2499.4047502790177|2512.2916625976563|2428.2500048828124|2336.3194498697917|2206.5972249348956|2046.6875067138672
204630.KQ|STUDIO SANTA CLAUS|2021-08-19|2400.0|2483.3333333333335|2468.333349609375|2476.1904645647323|2514.7916625976563|2439.7500048828124|2344.3750061035157|2212.6041697184246|2050.77083984375
204630.KQ|STUDIO SANTA CLAUS|2021-08-20|2404.166748046875|2465.27783203125|2453.333349609375|2463.0952497209823|2505.4166625976563|2450.83333984375|2352.9166748046873|2218.6805592854816|2054.4791735839844
204630.KQ|STUDIO SANTA CLAUS|2021-08-23|2625.0|2476.388916015625|2495.833349609375|2481.5476422991073|2502.9166625976563|2466.33333984375|2365.069451904297|2226.388892618815|2059.2916735839844
204630.KQ|STUDIO SANTA CLAUS|2021-08-25|2558.333251953125|2529.1666666666665|2515.833349609375|2492.8571428571427|2493.7499877929686|2479.7500048828124|2375.902783203125|2233.5763916015626|2063.666672973633
204630.KQ|STUDIO SANTA CLAUS|2021-08-26|2533.333251953125|2572.22216796875|2504.166650390625|2510.1190359933034|2491.2499877929686|2490.750002441406|2386.2500040690106|2240.2430572509766|2067.791672363281
