[2024-03-31 15:44:18] udpate moving average: SVMH, row: 75
[2024-03-31 15:44:19] udpate moving average: VITL, row: 688
[2024-03-31 15:44:21] udpate moving average: 091340.KQ, row: 669
[2024-03-31 15:44:22] udpate moving average: MAQCU, row: 688
[2024-03-31 15:44:24] udpate moving average: GRMN, row: 688
[2024-03-31 15:44:26] udpate moving average: RVLV, row: 688
[2024-03-31 15:44:28] udpate moving average: ETJ, row: 688
[2024-03-31 15:44:30] udpate moving average: CTSH, row: 688
[2024-03-31 15:44:31] udpate moving average: MMC, row: 688
[2024-03-31 15:44:33] udpate moving average: 140410.KQ, row: 670
[2024-03-31 15:44:35] udpate moving average: TLSI, row: 159
[2024-03-31 15:44:37] udpate moving average: 297090.KQ, row: 671
[2024-03-31 15:44:38] udpate moving average: LBRT, row: 688
[2024-03-31 15:44:40] udpate moving average: 039200.KQ, row: 670
[2024-03-31 15:44:42] udpate moving average: FBLG, row: 36
[2024-03-31 15:44:43] udpate moving average: MIGI, row: 688
[2024-03-31 15:44:45] udpate moving average: PHI, row: 688
[2024-03-31 15:44:47] udpate moving average: PMCB, row: 688
[2024-03-31 15:44:49] udpate moving average: 057540.KQ, row: 669
[2024-03-31 15:44:51] udpate moving average: 065420.KQ, row: 469
[2024-03-31 15:44:52] udpate moving average: TRVN, row: 688
[2024-03-31 15:44:54] udpate moving average: FARM, row: 688
[2024-03-31 15:44:56] udpate moving average: RVPH, row: 688
[2024-03-31 15:44:58] udpate moving average: KEP, row: 688
[2024-03-31 15:45:00] udpate moving average: WINT, row: 688
[2024-03-31 15:45:02] udpate moving average: DLNG, row: 688
[2024-03-31 15:45:04] udpate moving average: ASST, row: 289
[2024-03-31 15:45:05] udpate moving average: CHI, row: 688
[2024-03-31 15:45:07] udpate moving average: ARLP, row: 688
[2024-03-31 15:45:09] udpate moving average: 079960.KQ, row: 670
[2024-03-31 15:45:11] udpate moving average: CIM PR A, row: 0
[2024-03-31 15:45:13] udpate moving average: NMRA, row: 135
[2024-03-31 15:45:14] udpate moving average: 126560.KS, row: 672
[2024-03-31 15:45:16] udpate moving average: NLOP, row: 105
[2024-03-31 15:45:17] udpate moving average: ATMCU, row: 312
[2024-03-31 15:45:19] udpate moving average: 003460.KS, row: 672
[2024-03-31 15:45:20] udpate moving average: VANI, row: 396
[2024-03-31 15:45:22] udpate moving average: BAM, row: 332
[2024-03-31 15:45:23] udpate moving average: CLBR, row: 54
[2024-03-31 15:45:24] udpate moving average: PLRX, row: 688
[2024-03-31 15:45:26] udpate moving average: NZF, row: 688
[2024-03-31 15:45:28] udpate moving average: CGEM, row: 688
[2024-03-31 15:45:30] udpate moving average: CALX, row: 688
[2024-03-31 15:45:31] udpate moving average: SPG, row: 688
[2024-03-31 15:45:33] udpate moving average: 300120.KQ, row: 671
[2024-03-31 15:45:35] udpate moving average: 114810.KQ, row: 628
[2024-03-31 15:45:37] udpate moving average: KYN, row: 688
[2024-03-31 15:45:38] udpate moving average: NVNO, row: 688
[2024-03-31 15:45:40] udpate moving average: HUMA, row: 649
[2024-03-31 15:45:42] udpate moving average: JZ, row: 399
[2024-03-31 15:45:44] udpate moving average: 009450.KS, row: 20
[2024-03-31 15:45:44] udpate moving average: BIO, row: 688
[2024-03-31 15:45:46] udpate moving average: LKQ, row: 688
[2024-03-31 15:45:48] udpate moving average: UMH, row: 688
[2024-03-31 15:45:50] udpate moving average: BAK, row: 688
[2024-03-31 15:45:52] udpate moving average: EMCGR, row: 1
[2024-03-31 15:45:53] udpate moving average: HWKN, row: 688
[2024-03-31 15:45:55] udpate moving average: ELS, row: 688
[2024-03-31 15:45:57] udpate moving average: SEED, row: 688
[2024-03-31 15:45:59] udpate moving average: 138610.KQ, row: 670
[2024-03-31 15:46:01] udpate moving average: 078340.KQ, row: 670
[2024-03-31 15:46:02] udpate moving average: RMGCU, row: 688
[2024-03-31 15:46:04] udpate moving average: BANC, row: 688
[2024-03-31 15:46:06] udpate moving average: GDDY, row: 688
[2024-03-31 15:46:08] udpate moving average: EU, row: 688
[2024-03-31 15:46:10] udpate moving average: 217190.KQ, row: 670
[2024-03-31 15:46:11] udpate moving average: NWG, row: 688
[2024-03-31 15:46:13] udpate moving average: STRC, row: 630
[2024-03-31 15:46:15] udpate moving average: BCS, row: 688
[2024-03-31 15:46:17] udpate moving average: 060240.KQ, row: 670
[2024-03-31 15:46:19] udpate moving average: EVRG, row: 688
[2024-03-31 15:46:21] udpate moving average: 041920.KQ, row: 670
[2024-03-31 15:46:23] udpate moving average: BSM, row: 688
[2024-03-31 15:46:25] udpate moving average: CXM, row: 688
[2024-03-31 15:46:27] udpate moving average: LUNR, row: 282
[2024-03-31 15:46:28] udpate moving average: 039240.KQ, row: 670
