[2024-07-11 22:43:06] udpate price_detail: 001390.KS, row: 3
[2024-07-11 22:43:09] udpate price_detail: 001420.KS, row: 3
[2024-07-11 22:43:13] udpate price_detail: 001430.KS, row: 3
[2024-07-11 22:43:17] udpate price_detail: 001440.KS, row: 3
[2024-07-11 22:43:21] udpate price_detail: 001450.KS, row: 3
[2024-07-11 22:43:24] udpate price_detail: 001460.KS, row: 3
[2024-07-11 22:43:29] udpate price_detail: 001465.KS, row: 3
[2024-07-11 22:43:32] udpate price_detail: 001500.KS, row: 3
[2024-07-11 22:43:36] udpate price_detail: 001520.KS, row: 3
[2024-07-11 22:43:40] udpate price_detail: 001525.KS, row: 3
[2024-07-11 22:43:44] udpate price_detail: 001527.KS, row: 3
[2024-07-11 22:43:48] udpate price_detail: 001530.KS, row: 3
[2024-07-11 22:43:52] udpate price_detail: 001560.KS, row: 3
[2024-07-11 22:43:55] udpate price_detail: 001620.KS, row: 3
[2024-07-11 22:43:59] udpate price_detail: 001630.KS, row: 3
[2024-07-11 22:44:03] udpate price_detail: 001680.KS, row: 3
[2024-07-11 22:44:07] udpate price_detail: 001685.KS, row: 3
[2024-07-11 22:44:10] udpate price_detail: 001720.KS, row: 3
[2024-07-11 22:44:15] udpate price_detail: 001740.KS, row: 3
[2024-07-11 22:44:19] udpate price_detail: 001750.KS, row: 3
[2024-07-11 22:44:23] udpate price_detail: 001755.KS, row: 3
[2024-07-11 22:44:26] udpate price_detail: 001780.KS, row: 3
[2024-07-11 22:44:30] udpate price_detail: 001790.KS, row: 3
[2024-07-11 22:44:35] udpate price_detail: 001795.KS, row: 3
[2024-07-11 22:44:39] udpate price_detail: 001800.KS, row: 3
[2024-07-11 22:44:43] udpate price_detail: 001820.KS, row: 3
[2024-07-11 22:44:47] udpate price_detail: 001940.KS, row: 3
[2024-07-11 22:44:51] udpate price_detail: 002030.KS, row: 3
[2024-07-11 22:44:55] udpate price_detail: 002100.KS, row: 3
[2024-07-11 22:44:59] udpate price_detail: 002140.KS, row: 3
[2024-07-11 22:45:03] udpate price_detail: 002150.KS, row: 3
[2024-07-11 22:45:07] udpate price_detail: 002170.KS, row: 3
[2024-07-11 22:45:11] udpate price_detail: 002200.KS, row: 3
[2024-07-11 22:45:15] udpate price_detail: 002210.KS, row: 3
[2024-07-11 22:45:19] udpate price_detail: 002240.KS, row: 3
[2024-07-11 22:45:23] udpate price_detail: 002310.KS, row: 3
[2024-07-11 22:45:27] udpate price_detail: 002320.KS, row: 3
[2024-07-11 22:45:31] udpate price_detail: 002350.KS, row: 3
[2024-07-11 22:45:35] udpate price_detail: 002355.KS, row: 3
[2024-07-11 22:45:39] udpate price_detail: 002380.KS, row: 3
[2024-07-11 22:45:43] udpate price_detail: 002450.KS, row: 3
[2024-07-11 22:45:47] udpate price_detail: 002460.KS, row: 3
[2024-07-11 22:45:51] udpate price_detail: 002600.KS, row: 3
[2024-07-11 22:45:56] udpate price_detail: 002700.KS, row: 3
[2024-07-11 22:46:00] udpate price_detail: 002710.KS, row: 3
[2024-07-11 22:46:04] udpate price_detail: 002760.KS, row: 3
[2024-07-11 22:46:08] udpate price_detail: 002780.KS, row: 3
[2024-07-11 22:46:12] udpate price_detail: 002785.KS, row: 3
[2024-07-11 22:46:16] udpate price_detail: 002787.KS, row: 3
[2024-07-11 22:46:21] udpate price_detail: 002790.KS, row: 3
[2024-07-11 22:46:25] udpate price_detail: 002795.KS, row: 3
[2024-07-11 22:46:30] udpate price_detail: 00279K.KS, row: 3
[2024-07-11 22:46:35] udpate price_detail: 002810.KS, row: 3
[2024-07-11 22:46:40] udpate price_detail: 002840.KS, row: 3
[2024-07-11 22:46:44] udpate price_detail: 002900.KS, row: 3
[2024-07-11 22:46:48] udpate price_detail: 002920.KS, row: 3
[2024-07-11 22:46:53] udpate price_detail: 002960.KS, row: 3
[2024-07-11 22:46:57] udpate price_detail: 003010.KS, row: 3
[2024-07-11 22:47:02] udpate price_detail: 003030.KS, row: 3
[2024-07-11 22:47:06] udpate price_detail: 003080.KS, row: 3
[2024-07-11 22:47:11] udpate price_detail: 003090.KS, row: 3
[2024-07-11 22:47:15] udpate price_detail: 003160.KS, row: 3
[2024-07-11 22:47:21] udpate price_detail: 003200.KS, row: 3
[2024-07-11 22:47:26] udpate price_detail: 003220.KS, row: 3
[2024-07-11 22:47:30] udpate price_detail: 003230.KS, row: 3
[2024-07-11 22:47:34] udpate price_detail: 003280.KS, row: 3
[2024-07-11 22:47:40] udpate price_detail: 003300.KS, row: 3
[2024-07-11 22:47:44] udpate price_detail: 003410.KS, row: 1
[2024-07-11 22:47:49] udpate price_detail: 003460.KS, row: 3
[2024-07-11 22:47:53] udpate price_detail: 003465.KS, row: 3
[2024-07-11 22:47:58] udpate price_detail: 003470.KS, row: 3
[2024-07-11 22:48:02] udpate price_detail: 003475.KS, row: 3
[2024-07-11 22:48:07] udpate price_detail: 003480.KS, row: 3
[2024-07-11 22:48:11] udpate price_detail: 003490.KS, row: 3
[2024-07-11 22:48:16] udpate price_detail: 003495.KS, row: 3
[2024-07-11 22:48:20] udpate price_detail: 003520.KS, row: 3
[2024-07-11 22:48:24] udpate price_detail: 003530.KS, row: 3
[2024-07-11 22:48:30] udpate price_detail: 003535.KS, row: 3
[2024-07-11 22:48:35] udpate price_detail: 003540.KS, row: 3
[2024-07-11 22:48:39] udpate price_detail: 003545.KS, row: 3
[2024-07-11 22:48:43] udpate price_detail: 003547.KS, row: 3
[2024-07-11 22:48:48] udpate price_detail: 003550.KS, row: 3
[2024-07-11 22:48:52] udpate price_detail: 003555.KS, row: 3
[2024-07-11 22:48:56] udpate price_detail: 003560.KS, row: 3
[2024-07-11 22:49:01] udpate price_detail: 003570.KS, row: 3
[2024-07-11 22:49:06] udpate price_detail: 003620.KS, row: 3
[2024-07-11 22:49:11] udpate price_detail: 003650.KS, row: 3
[2024-07-11 22:49:17] udpate price_detail: 003670.KS, row: 3
[2024-07-11 22:49:21] udpate price_detail: 003690.KS, row: 3
[2024-07-11 22:49:26] udpate price_detail: 003720.KS, row: 3
[2024-07-11 22:49:31] udpate price_detail: 003780.KS, row: 3
[2024-07-11 22:49:37] udpate price_detail: 003830.KS, row: 3
[2024-07-11 22:49:41] udpate price_detail: 003850.KS, row: 3
[2024-07-11 22:49:46] udpate price_detail: 003960.KS, row: 3
[2024-07-11 22:49:51] udpate price_detail: 004000.KS, row: 3
[2024-07-11 22:49:55] udpate price_detail: 004020.KS, row: 3
[2024-07-11 22:50:00] udpate price_detail: 004080.KS, row: 3
[2024-07-11 22:50:04] udpate price_detail: 004090.KS, row: 3
[2024-07-11 22:50:09] udpate price_detail: 004100.KS, row: 3
[2024-07-11 22:50:14] udpate price_detail: 004105.KS, row: 3
[2024-07-11 22:50:18] udpate price_detail: 004140.KS, row: 3
[2024-07-11 22:50:23] udpate price_detail: 004150.KS, row: 3
[2024-07-11 22:50:28] udpate price_detail: 004170.KS, row: 3
[2024-07-11 22:50:33] udpate price_detail: 004250.KS, row: 3
[2024-07-11 22:50:37] udpate price_detail: 004255.KS, row: 3
[2024-07-11 22:50:42] udpate price_detail: 004310.KS, row: 3
[2024-07-11 22:50:47] udpate price_detail: 004360.KS, row: 3
[2024-07-11 22:50:51] udpate price_detail: 004365.KS, row: 3
[2024-07-11 22:50:56] udpate price_detail: 004370.KS, row: 3
[2024-07-11 22:51:01] udpate price_detail: 004380.KS, row: 3
[2024-07-11 22:51:06] udpate price_detail: 004410.KS, row: 3
[2024-07-11 22:51:10] udpate price_detail: 004415.KS, row: 3
[2024-07-11 22:51:14] udpate price_detail: 004430.KS, row: 3
[2024-07-11 22:51:19] udpate price_detail: 004440.KS, row: 3
[2024-07-11 22:51:23] udpate price_detail: 004490.KS, row: 3
[2024-07-11 22:51:28] udpate price_detail: 004690.KS, row: 3
