[2024-06-07 23:50:29] udpate price_detail: 003230.KS[2024-06-07 23:50:32] , row: 735
[2024-06-07 23:50:32] udpate price_detail: 029780.KS[2024-06-07 23:50:35] , row: 735
[2024-06-07 23:50:35] udpate price_detail: 180640.KS[2024-06-07 23:50:37] , row: 735
[2024-06-07 23:50:37] udpate price_detail: 006800.KS[2024-06-07 23:50:40] , row: 735
[2024-06-07 23:50:40] udpate price_detail: 036570.KS[2024-06-07 23:50:43] , row: 735
[2024-06-07 23:50:43] udpate price_detail: 021240.KS[2024-06-07 23:50:45] , row: 735
[2024-06-07 23:50:45] udpate price_detail: 032640.KS[2024-06-07 23:50:48] , row: 735
[2024-06-07 23:50:48] udpate price_detail: 064350.KS[2024-06-07 23:50:51] , row: 735
[2024-06-07 23:50:51] udpate price_detail: 377300.KS[2024-06-07 23:50:53] , row: 635
[2024-06-07 23:50:53] udpate price_detail: 302440.KS[2024-06-07 23:50:56] , row: 735
[2024-06-07 23:50:56] udpate price_detail: 307950.KS[2024-06-07 23:50:58] , row: 735
[2024-06-07 23:50:58] udpate price_detail: 011780.KS[2024-06-07 23:51:01] , row: 735
[2024-06-07 23:51:01] udpate price_detail: 078930.KS[2024-06-07 23:51:04] , row: 735
[2024-06-07 23:51:04] udpate price_detail: 004020.KS[2024-06-07 23:51:06] , row: 735
[2024-06-07 23:51:06] udpate price_detail: 005940.KS[2024-06-07 23:51:09] , row: 735
[2024-06-07 23:51:09] udpate price_detail: 071050.KS[2024-06-07 23:51:11] , row: 735
[2024-06-07 23:51:11] udpate price_detail: 128940.KS[2024-06-07 23:51:14] , row: 735
[2024-06-07 23:51:14] udpate price_detail: 079550.KS[2024-06-07 23:51:17] , row: 735
[2024-06-07 23:51:17] udpate price_detail: 005385.KS[2024-06-07 23:51:20] , row: 735
[2024-06-07 23:51:20] udpate price_detail: 001040.KS[2024-06-07 23:51:22] , row: 735
[2024-06-07 23:51:22] udpate price_detail: 000720.KS[2024-06-07 23:51:25] , row: 735
[2024-06-07 23:51:25] udpate price_detail: 271560.KS[2024-06-07 23:51:27] , row: 735
[2024-06-07 23:51:27] udpate price_detail: 298040.KS[2024-06-07 23:51:30] , row: 735
[2024-06-07 23:51:30] udpate price_detail: 039490.KS[2024-06-07 23:51:32] , row: 735
[2024-06-07 23:51:32] udpate price_detail: 016360.KS[2024-06-07 23:51:35] , row: 735
[2024-06-07 23:51:35] udpate price_detail: 272210.KS[2024-06-07 23:51:38] , row: 735
[2024-06-07 23:51:38] udpate price_detail: 035250.KS[2024-06-07 23:51:41] , row: 735
[2024-06-07 23:51:41] udpate price_detail: 007660.KS[2024-06-07 23:51:43] , row: 735
[2024-06-07 23:51:43] udpate price_detail: 361610.KS[2024-06-07 23:51:46] , row: 735
[2024-06-07 23:51:46] udpate price_detail: 003410.KS[2024-06-07 23:51:49] , row: 735
[2024-06-07 23:51:49] udpate price_detail: 001450.KS[2024-06-07 23:51:51] , row: 735
[2024-06-07 23:51:51] udpate price_detail: 001440.KS[2024-06-07 23:51:54] , row: 735
[2024-06-07 23:51:54] udpate price_detail: 002790.KS[2024-06-07 23:51:57] , row: 735
[2024-06-07 23:51:57] udpate price_detail: 004370.KS[2024-06-07 23:52:00] , row: 735
[2024-06-07 23:52:00] udpate price_detail: 175330.KS[2024-06-07 23:52:03] , row: 735
[2024-06-07 23:52:03] udpate price_detail: 018880.KS[2024-06-07 23:52:06] , row: 735
[2024-06-07 23:52:06] udpate price_detail: 383220.KS[2024-06-07 23:52:08] , row: 735
[2024-06-07 23:52:08] udpate price_detail: 002380.KS[2024-06-07 23:52:11] , row: 735
[2024-06-07 23:52:11] udpate price_detail: 138930.KS[2024-06-07 23:52:13] , row: 735
[2024-06-07 23:52:13] udpate price_detail: 052690.KS[2024-06-07 23:52:16] , row: 735
[2024-06-07 23:52:16] udpate price_detail: 278470.KS[2024-06-07 23:52:18] , row: 66
[2024-06-07 23:52:18] udpate price_detail: 088350.KS[2024-06-07 23:52:21] , row: 735
[2024-06-07 23:52:21] udpate price_detail: 081660.KS[2024-06-07 23:52:24] , row: 735
[2024-06-07 23:52:24] udpate price_detail: 012750.KS[2024-06-07 23:52:27] , row: 735
[2024-06-07 23:52:27] udpate price_detail: 007070.KS[2024-06-07 23:52:29] , row: 735
[2024-06-07 23:52:29] udpate price_detail: 000120.KS[2024-06-07 23:52:32] , row: 735
[2024-06-07 23:52:32] udpate price_detail: 028670.KS[2024-06-07 23:52:35] , row: 735
[2024-06-07 23:52:35] udpate price_detail: 204320.KS[2024-06-07 23:52:37] , row: 735
[2024-06-07 23:52:37] udpate price_detail: 008930.KS[2024-06-07 23:52:40] , row: 735
[2024-06-07 23:52:40] udpate price_detail: 008770.KS[2024-06-07 23:52:43] , row: 735
[2024-06-07 23:52:43] udpate price_detail: 030000.KS[2024-06-07 23:52:45] , row: 735
[2024-06-07 23:52:45] udpate price_detail: 014680.KS[2024-06-07 23:52:48] , row: 735
[2024-06-07 23:52:48] udpate price_detail: 094800.KS[2024-06-07 23:52:50] , row: 715
[2024-06-07 23:52:50] udpate price_detail: 073240.KS[2024-06-07 23:52:53] , row: 735
[2024-06-07 23:52:53] udpate price_detail: 051915.KS[2024-06-07 23:52:56] , row: 735
[2024-06-07 23:52:56] udpate price_detail: 282330.KS[2024-06-07 23:52:59] , row: 735
[2024-06-07 23:52:59] udpate price_detail: 012510.KS[2024-06-07 23:53:02] , row: 735
[2024-06-07 23:53:02] udpate price_detail: 000990.KS[2024-06-07 23:53:04] , row: 735
[2024-06-07 23:53:04] udpate price_detail: 007310.KS[2024-06-07 23:53:07] , row: 735
[2024-06-07 23:53:07] udpate price_detail: 026960.KS[2024-06-07 23:53:10] , row: 735
[2024-06-07 23:53:10] udpate price_detail: 023530.KS[2024-06-07 23:53:13] , row: 735
[2024-06-07 23:53:13] udpate price_detail: 010060.KS[2024-06-07 23:53:16] , row: 735
[2024-06-07 23:53:16] udpate price_detail: 192820.KS[2024-06-07 23:53:18] , row: 735
[2024-06-07 23:53:18] udpate price_detail: 009420.KS[2024-06-07 23:53:21] , row: 735
[2024-06-07 23:53:21] udpate price_detail: 005850.KS[2024-06-07 23:53:24] , row: 735
[2024-06-07 23:53:24] udpate price_detail: 457190.KS[2024-06-07 23:53:26] , row: 181
[2024-06-07 23:53:26] udpate price_detail: 103140.KS[2024-06-07 23:53:29] , row: 735
[2024-06-07 23:53:29] udpate price_detail: 298020.KS[2024-06-07 23:53:32] , row: 735
[2024-06-07 23:53:32] udpate price_detail: 051600.KS[2024-06-07 23:53:35] , row: 735
[2024-06-07 23:53:35] udpate price_detail: 018670.KS[2024-06-07 23:53:37] , row: 735
[2024-06-07 23:53:37] udpate price_detail: 004170.KS[2024-06-07 23:53:40] , row: 735
[2024-06-07 23:53:40] udpate price_detail: 042670.KS[2024-06-07 23:53:42] , row: 735
[2024-06-07 23:53:42] udpate price_detail: 017800.KS[2024-06-07 23:53:44] , row: 735
[2024-06-07 23:53:44] udpate price_detail: 298050.KS[2024-06-07 23:53:47] , row: 735
[2024-06-07 23:53:47] udpate price_detail: 011210.KS[2024-06-07 23:53:50] , row: 735
[2024-06-07 23:53:50] udpate price_detail: 047040.KS[2024-06-07 23:53:52] , row: 735
[2024-06-07 23:53:52] udpate price_detail: 004490.KS[2024-06-07 23:53:55] , row: 735
[2024-06-07 23:53:55] udpate price_detail: 280360.KS[2024-06-07 23:53:57] , row: 735
[2024-06-07 23:53:57] udpate price_detail: 111770.KS[2024-06-07 23:54:00] , row: 735
[2024-06-07 23:54:00] udpate price_detail: 161890.KS[2024-06-07 23:54:02] , row: 735
[2024-06-07 23:54:02] udpate price_detail: 000240.KS[2024-06-07 23:54:05] , row: 735
[2024-06-07 23:54:05] udpate price_detail: 002710.KS[2024-06-07 23:54:08] , row: 735
[2024-06-07 23:54:08] udpate price_detail: 000080.KS[2024-06-07 23:54:10] , row: 735
[2024-06-07 23:54:10] udpate price_detail: 001720.KS[2024-06-07 23:54:13] , row: 735
[2024-06-07 23:54:13] udpate price_detail: 185750.KS[2024-06-07 23:54:16] , row: 735
[2024-06-07 23:54:16] udpate price_detail: 139130.KS[2024-06-07 23:54:18] , row: 735
[2024-06-07 23:54:18] udpate price_detail: 375500.KS[2024-06-07 23:54:21] , row: 735
[2024-06-07 23:54:21] udpate price_detail: 003690.KS[2024-06-07 23:54:24] , row: 735
[2024-06-07 23:54:24] udpate price_detail: 009240.KS[2024-06-07 23:54:26] , row: 735
[2024-06-07 23:54:26] udpate price_detail: 395400.KS[2024-06-07 23:54:29] , row: 666
[2024-06-07 23:54:29] udpate price_detail: 014820.KS[2024-06-07 23:54:32] , row: 735
