[2024-06-14 23:50:31] udpate price_detail: 318020.KQ, row: 29
[2024-06-14 23:50:36] udpate price_detail: 006910.KQ, row: 714
[2024-06-14 23:50:40] udpate price_detail: 070590.KQ, row: 402
[2024-06-14 23:50:45] udpate price_detail: 038060.KQ, row: 698
[2024-06-14 23:50:50] udpate price_detail: 018620.KQ, row: 700
[2024-06-14 23:50:55] udpate price_detail: 047310.KQ, row: 713
[2024-06-14 23:51:00] udpate price_detail: 086520.KQ, row: 670
[2024-06-14 23:51:04] udpate price_detail: 219750.KQ, row: 0
[2024-06-14 23:51:09] udpate price_detail: 250000.KQ, row: 714
[2024-06-14 23:51:14] udpate price_detail: 109960.KQ, row: 385
[2024-06-14 23:51:19] udpate price_detail: 095700.KQ, row: 715
[2024-06-14 23:51:24] udpate price_detail: 241840.KQ, row: 714
[2024-06-14 23:51:29] udpate price_detail: 356860.KQ, row: 701
[2024-06-14 23:51:33] udpate price_detail: 448280.KQ, row: 132
[2024-06-14 23:51:38] udpate price_detail: 215600.KQ, row: 403
[2024-06-14 23:51:43] udpate price_detail: 264850.KQ, row: 700
[2024-06-14 23:51:47] udpate price_detail: 445970.KQ, row: 352
[2024-06-14 23:51:52] udpate price_detail: 046440.KQ, row: 714
[2024-06-14 23:51:57] udpate price_detail: 448740.KQ, row: 309
[2024-06-14 23:52:03] udpate price_detail: 027360.KQ, row: 714
[2024-06-14 23:52:08] udpate price_detail: 259630.KQ, row: 714
[2024-06-14 23:52:13] udpate price_detail: 368970.KQ, row: 403
[2024-06-14 23:52:17] udpate price_detail: 440290.KQ, row: 88
[2024-06-14 23:52:23] udpate price_detail: 091580.KQ, row: 714
[2024-06-14 23:52:29] udpate price_detail: 081580.KQ, row: 712
[2024-06-14 23:52:35] udpate price_detail: 011560.KQ, row: 699
[2024-06-14 23:52:40] udpate price_detail: 109740.KQ, row: 705
[2024-06-14 23:52:47] udpate price_detail: 215000.KQ, row: 714
[2024-06-14 23:52:52] udpate price_detail: 043150.KQ, row: 714
[2024-06-14 23:52:58] udpate price_detail: 043370.KQ, row: 700
[2024-06-14 23:53:04] udpate price_detail: 352770.KQ, row: 716
[2024-06-14 23:53:10] udpate price_detail: 079650.KQ, row: 693
[2024-06-14 23:53:16] udpate price_detail: 096350.KQ, row: 700
[2024-06-14 23:53:21] udpate price_detail: 036630.KQ, row: 377
[2024-06-14 23:53:27] udpate price_detail: 008830.KQ, row: 711
[2024-06-14 23:53:32] udpate price_detail: 214150.KQ, row: 403
[2024-06-14 23:53:38] udpate price_detail: 900120.KQ, row: 714
[2024-06-14 23:53:45] udpate price_detail: 067920.KQ, row: 712
[2024-06-14 23:53:51] udpate price_detail: 042420.KQ, row: 713
[2024-06-14 23:53:57] udpate price_detail: 101170.KQ, row: 700
[2024-06-14 23:54:03] udpate price_detail: 330350.KQ, row: 713
[2024-06-14 23:54:09] udpate price_detail: 089230.KQ, row: 388
[2024-06-14 23:54:15] udpate price_detail: 064850.KQ, row: 699
[2024-06-14 23:54:21] udpate price_detail: 053350.KQ, row: 710
[2024-06-14 23:54:27] udpate price_detail: 037760.KQ, row: 711
[2024-06-14 23:54:35] udpate price_detail: 041520.KQ, row: 699
[2024-06-14 23:54:42] udpate price_detail: 119850.KQ, row: 700
[2024-06-14 23:54:49] udpate price_detail: 005290.KQ, row: 714
[2024-06-14 23:54:56] udpate price_detail: 033830.KQ, row: 710
[2024-06-14 23:55:02] udpate price_detail: 190510.KQ, row: 714
[2024-06-14 23:55:08] udpate price_detail: 091120.KQ, row: 714
[2024-06-14 23:55:14] udpate price_detail: 293580.KQ, row: 390
[2024-06-14 23:55:21] udpate price_detail: 048550.KQ, row: 714
[2024-06-14 23:55:26] udpate price_detail: 067080.KQ, row: 403
[2024-06-14 23:55:32] udpate price_detail: 230360.KQ, row: 403
[2024-06-14 23:55:39] udpate price_detail: 037950.KQ, row: 714
[2024-06-14 23:55:45] udpate price_detail: 104040.KQ, row: 714
[2024-06-14 23:55:52] udpate price_detail: 219130.KQ, row: 700
[2024-06-14 23:55:58] udpate price_detail: 036120.KQ, row: 714
[2024-06-14 23:56:04] udpate price_detail: 204630.KQ, row: 364
[2024-06-14 23:56:11] udpate price_detail: 251630.KQ, row: 714
[2024-06-14 23:56:17] udpate price_detail: 063760.KQ, row: 699
[2024-06-14 23:56:22] udpate price_detail: 457630.KQ, row: 120
[2024-06-14 23:56:27] udpate price_detail: 443670.KQ, row: 286
[2024-06-14 23:56:33] udpate price_detail: 049430.KQ, row: 691
[2024-06-14 23:56:40] udpate price_detail: 032080.KQ, row: 712
[2024-06-14 23:56:46] udpate price_detail: 261200.KQ, row: 403
[2024-06-14 23:56:52] udpate price_detail: 102710.KQ, row: 700
[2024-06-14 23:56:59] udpate price_detail: 099410.KQ, row: 668
[2024-06-14 23:57:03] udpate price_detail: 448370.KQ, row: 200
[2024-06-14 23:57:10] udpate price_detail: 131180.KQ, row: 712
[2024-06-14 23:57:14] udpate price_detail: 416180.KQ, row: 155
[2024-06-14 23:57:21] udpate price_detail: 424140.KQ, row: 403
[2024-06-14 23:57:27] udpate price_detail: 352480.KQ, row: 403
[2024-06-14 23:57:32] udpate price_detail: 298060.KQ, row: 403
[2024-06-14 23:57:37] udpate price_detail: 438220.KQ, row: 173
[2024-06-14 23:57:43] udpate price_detail: 027710.KQ, row: 714
[2024-06-14 23:57:48] udpate price_detail: 464680.KQ, row: 144
[2024-06-14 23:57:55] udpate price_detail: 031310.KQ, row: 713
[2024-06-14 23:58:02] udpate price_detail: 083660.KQ, row: 685
[2024-06-14 23:58:10] udpate price_detail: 041440.KQ, row: 700
[2024-06-14 23:58:14] udpate price_detail: 474490.KQ, row: 25
[2024-06-14 23:58:21] udpate price_detail: 354200.KQ, row: 713
[2024-06-14 23:58:28] udpate price_detail: 238200.KQ, row: 694
[2024-06-14 23:58:35] udpate price_detail: 046120.KQ, row: 714
[2024-06-14 23:58:41] udpate price_detail: 142210.KQ, row: 715
[2024-06-14 23:58:47] udpate price_detail: 042940.KQ, row: 392
[2024-06-14 23:58:52] udpate price_detail: 038010.KQ, row: 403
[2024-06-14 23:58:58] udpate price_detail: 148930.KQ, row: 447
[2024-06-14 23:59:03] udpate price_detail: 465320.KQ, row: 122
[2024-06-14 23:59:09] udpate price_detail: 900270.KQ, row: 714
[2024-06-14 23:59:13] udpate price_detail: 066410.KQ, row: 0
[2024-06-14 23:59:20] udpate price_detail: 099320.KQ, row: 700
[2024-06-14 23:59:26] udpate price_detail: 090150.KQ, row: 698
[2024-06-14 23:59:33] udpate price_detail: 010470.KQ, row: 700
[2024-06-14 23:59:38] udpate price_detail: 282720.KQ, row: 302
[2024-06-14 23:59:45] udpate price_detail: 169330.KQ, row: 700
[2024-06-14 23:59:51] udpate price_detail: 101730.KQ, row: 696
[2024-06-14 23:59:56] udpate price_detail: 064520.KQ, row: 445
[2024-06-15 00:00:02] udpate price_detail: 400840.KQ, row: 601
[2024-06-15 00:00:07] udpate price_detail: 054950.KQ, row: 713
[2024-06-15 00:00:13] udpate price_detail: 332570.KQ, row: 403
[2024-06-15 00:00:19] udpate price_detail: 036200.KQ, row: 714
[2024-06-15 00:00:24] udpate price_detail: 137080.KQ, row: 403
[2024-06-15 00:00:29] udpate price_detail: 450520.KQ, row: 168
[2024-06-15 00:00:34] udpate price_detail: 094940.KQ, row: 700
[2024-06-15 00:00:39] udpate price_detail: 173130.KQ, row: 404
[2024-06-15 00:00:45] udpate price_detail: 370090.KQ, row: 559
[2024-06-15 00:00:50] udpate price_detail: 036800.KQ, row: 698
