code|name|date|stage|price|ema5|ema12|ema20|ema26|ema40|macd|macd_5_20|macd_5_40|macd_20_40|signal|signal_5_20|signal_5_40|signal_20_40
NVDA|NVIDIA Corporation|2022-10-18|0.0|119.58071899414062|119.05444335937500|118.9127537653996407692307692|118.8664877755301357142857143|118.8497806125217033333333333|118.8298135152677231707317073|0.0629731528779374358974359|0.1879555838448642857142857|0.2246298441072768292682927|0.0366742602624125435540070|0.01259463057558748717948718|0.03759111676897285714285714|0.04492596882145536585365854|0.0073348520524825087108014
NVDA|NVIDIA Corporation|2022-10-19|0.0|120.42008972167969|119.5096588134765633333333333|119.1446516048273406508875739|119.014449865639617074829932|118.9660998057926653086419753|118.9073879643609898453301606|0.1785517990346753422455986|0.4952089478369462585034013|0.6022708491155734880031727|0.1070619012786272294997714|0.045786064267405058192709464|0.129114682982567537414965972|0.156394944880278990283561372|0.0272802618977114528685954
NVDA|NVIDIA Corporation|2022-10-20|0.0|121.84902954101562|120.2894490559895822222222222|119.5607097488563067045971779|119.2844098347230459248461290|119.1796501565499212117055327|119.0508826754173132675091771|0.3810595923063854928916452|1.0050392212665362973760932|1.2385663805722689547130451|0.2335271593057326573369519|0.1128407698752011451324966112|0.3042995906393612894071914176|0.3728292320186769831694581176|0.0685296413793156937622667
NVDA|NVIDIA Corporation|2022-10-21|0.0|124.56700134277344|121.7152998182508681481481481|120.3309084556127887500437659|119.7875137878707025034322120|119.5787132073812929738014192|119.3199616348005389617770221|0.7521952482314957762423467|1.9277860303801656447159361|2.3953381834503291863711260|0.4675521530701635416551899|0.240711665546460071354466629|0.6289968785875221604689403541|0.7773310223050074238097916941|0.14833414371748526334085134
NVDA|NVIDIA Corporation|2022-10-24|0.0|125.89600372314453|123.1088677865487554320987654|121.1870769583099797115754942|120.3692747340872575031053347|120.0466606529933846053716844|119.6407441756953677929098503|1.1404163053165951062038098|2.7395930524614979289934307|3.4681236108533876391889151|0.7285305583918897101954844|0.4206525935004870783243352632|1.051116113362317314173838423|1.315489540014683466885616375|0.264373426652366152711777952
NVDA|NVIDIA Corporation|2022-10-25|0.0|132.51104736328125|126.2429276454595869547325103|122.929226251382482832871572|121.5256340321057329790000647|120.9699485574591524123811893|120.2685638433824839981337600|1.9592776939233304204903827|4.7172936133538539757324456|5.9743638020771029565987503|1.2570701887232489808663047|0.7283776135850557467575447506|1.784351613360624646485559858|2.24726439242716736482824316|0.4629127790665427183426833016
NVDA|NVIDIA Corporation|2022-10-26|0.0|128.8638153076172|127.1165568661787913031550069|123.8422399523416700893528686|122.2245084392973012667143442|121.5546794278412300114640641|120.6878444026134457543223571|2.2875605245004400778888045|4.8920484268814900364406627|6.4287124635653455488326498|1.5366640366838555123919871|1.04021419576813261298379670|2.405890976064797724476580426|3.083554006654803001629124488|0.6776630305900052771525440613
NVDA|NVIDIA Corporation|2022-10-27|0.0|131.6616973876953|128.6316037066842942021033379|125.0452334039345362294524273|123.1232883391447297175034543|122.3033474248674574180222816|121.2231543043247557175261446|2.7418859790670788114301457|5.5083153675395644845998836|7.4084494023595384845771933|1.9001340348199739999773097|1.38054855242792185267306650|3.026375854359751076501241061|3.94853308579575009821873825|0.922157231435999021717497189
NVDA|NVIDIA Corporation|2022-10-28|0.0|138.2367706298828|131.8333260144171294680688919|127.0747006694650383479982077|124.5626676049293078396459825|123.4836009956093346463169274|122.0530868080105139752077961|3.5910996738557037016812803|7.2706584094878216284229094|9.7802392064066154928610958|2.5095807969187938644381864|1.82265877671347822247470926|3.875232365385365186885574729|5.11487430991792317714720976|1.239641944532557990261635031
NVDA|NVIDIA Corporation|2022-10-31|0.0|134.86932373046875|132.8453252531010029787125946|128.2738734480809939867677142|125.5442539025997309025368413|124.3269878648581802280712291|122.6782690969109157325147329|3.9468855832228137586964851|7.3010713505012720761757533|10.1670561561900872461978617|2.8659848056888151700221084|2.247504138015345329719064428|4.560400162408546564743610443|6.125310679172355990957340148|1.564910516763809426213729705
NVDA|NVIDIA Corporation|2022-11-01|0.0|135.32896423339844|133.6732049132001486524750631|129.3592720304375241426496043|126.4761310769615127213428564|125.1419490773426439148807677|123.2953761767395754528798679|4.2173229530948802277688366|7.1970738362386359311322067|10.3778287364605731995951952|3.1807549002219372684629885|2.641467901031252309329018862|5.087734897174564438021329694|6.975814290629999432684911158|1.888079393455434994663581464
NVDA|NVIDIA Corporation|2022-11-02|0.0|132.09140014648438|133.1459366576282257683167087|129.7795994329062711976265882|127.0109186073922619859768701|125.6567232306124021434081182|123.7244505167271268942028012|4.1228762022938690542184700|6.1350180502359637823398386|9.4214861409010988741139075|3.2864680906651350917740689|2.93774956128377565830690909|5.297191527786844306885031475|7.464948660684219320970710426|2.167757132897375014085678951
NVDA|NVIDIA Corporation|2022-11-03|0.0|134.10987854003906|133.4672506184318371788778058|130.4457962186190079364532669|127.6870100295490998920743110|126.2828828831625249476001094|124.2310567617667333871685182|4.1629133354564829888531575|5.7802405888827372868034948|9.2361938566651037917092876|3.4559532677823665049057928|3.182782316118317124416158772|5.39380134000602290286872414|7.819197699880396215118425861|2.425396359874373312249701721
NVDA|NVIDIA Corporation|2022-11-04|0.0|141.45437622070312|136.1296258191889314525852039|132.1394239112473328693066105|128.9981877620399589499719957|127.4066972044618282848149161|125.0712186865928985877944441|4.7327267067855045844916944|7.1314380571489725026132082|11.0584071325960328647907598|3.9269690754470603621775516|3.492771194251754616431265898|5.741328683434612822817620952|8.467039586423523545052892649|2.725710902988910722235271697
