[2024-03-03 13:46:43] udpate moving average: yfinance.Ticker object <005070.KS>, row: 672
[2024-03-03 13:46:45] udpate moving average: yfinance.Ticker object <001570.KS>, row: 672
[2024-03-03 13:46:48] udpate moving average: yfinance.Ticker object <267250.KS>, row: 672
[2024-03-03 13:46:51] udpate moving average: yfinance.Ticker object <088980.KS>, row: 670
[2024-03-03 13:46:54] udpate moving average: yfinance.Ticker object <006800.KS>, row: 672
[2024-03-03 13:46:56] udpate moving average: yfinance.Ticker object <000100.KS>, row: 672
[2024-03-03 13:46:59] udpate moving average: yfinance.Ticker object <251270.KS>, row: 672
[2024-03-03 13:47:01] udpate moving average: yfinance.Ticker object <011170.KS>, row: 672
[2024-03-03 13:47:04] udpate moving average: yfinance.Ticker object <361610.KS>, row: 672
[2024-03-03 13:47:07] udpate moving average: yfinance.Ticker object <047810.KS>, row: 672
[2024-03-03 13:47:10] udpate moving average: yfinance.Ticker object <051900.KS>, row: 672
[2024-03-03 13:47:13] udpate moving average: yfinance.Ticker object <028050.KS>, row: 672
[2024-03-03 13:47:15] udpate moving average: yfinance.Ticker object <004020.KS>, row: 672
[2024-03-03 13:47:17] udpate moving average: yfinance.Ticker object <454910.KS>, row: 100
[2024-03-03 13:47:20] udpate moving average: yfinance.Ticker object <011070.KS>, row: 672
[2024-03-03 13:47:22] udpate moving average: yfinance.Ticker object <009830.KS>, row: 672
[2024-03-03 13:47:25] udpate moving average: yfinance.Ticker object <302440.KS>, row: 672
[2024-03-03 13:47:27] udpate moving average: yfinance.Ticker object <241560.KS>, row: 672
[2024-03-03 13:47:30] udpate moving average: yfinance.Ticker object <097950.KS>, row: 672
[2024-03-03 13:47:33] udpate moving average: yfinance.Ticker object <032640.KS>, row: 672
[2024-03-03 13:47:36] udpate moving average: yfinance.Ticker object <267260.KS>, row: 672
[2024-03-03 13:47:38] udpate moving average: yfinance.Ticker object <078930.KS>, row: 672
[2024-03-03 13:47:41] udpate moving average: yfinance.Ticker object <029780.KS>, row: 672
[2024-03-03 13:47:44] udpate moving average: yfinance.Ticker object <128940.KS>, row: 672
[2024-03-03 13:47:47] udpate moving average: yfinance.Ticker object <036570.KS>, row: 672
[2024-03-03 13:47:50] udpate moving average: yfinance.Ticker object <011780.KS>, row: 672
[2024-03-03 13:47:54] udpate moving average: yfinance.Ticker object <180640.KS>, row: 672
[2024-03-03 13:47:57] udpate moving average: yfinance.Ticker object <307950.KS>, row: 672
[2024-03-03 13:48:01] udpate moving average: yfinance.Ticker object <034220.KS>, row: 672
[2024-03-03 13:48:05] udpate moving average: yfinance.Ticker object <021240.KS>, row: 672
[2024-03-03 13:48:09] udpate moving average: yfinance.Ticker object <071050.KS>, row: 672
[2024-03-03 13:48:13] udpate moving average: yfinance.Ticker object <005940.KS>, row: 672
[2024-03-03 13:48:17] udpate moving average: yfinance.Ticker object <000720.KS>, row: 672
[2024-03-03 13:48:21] udpate moving average: yfinance.Ticker object <005385.KS>, row: 672
[2024-03-03 13:48:25] udpate moving average: yfinance.Ticker object <035250.KS>, row: 672
[2024-03-03 13:48:29] udpate moving average: yfinance.Ticker object <016360.KS>, row: 672
[2024-03-03 13:48:31] udpate moving average: yfinance.Ticker object <271560.KS>, row: 672
[2024-03-03 13:48:34] udpate moving average: yfinance.Ticker object <064350.KS>, row: 672
[2024-03-03 13:48:38] udpate moving average: yfinance.Ticker object <003410.KS>, row: 672
[2024-03-03 13:48:41] udpate moving average: yfinance.Ticker object <039490.KS>, row: 672
[2024-03-03 13:48:43] udpate moving average: yfinance.Ticker object <018880.KS>, row: 672
[2024-03-03 13:48:47] udpate moving average: yfinance.Ticker object <004990.KS>, row: 672
[2024-03-03 13:48:50] udpate moving average: yfinance.Ticker object <079550.KS>, row: 672
[2024-03-03 13:48:53] udpate moving average: yfinance.Ticker object <272210.KS>, row: 672
[2024-03-03 13:48:56] udpate moving average: yfinance.Ticker object <011790.KS>, row: 672
[2024-03-03 13:48:59] udpate moving average: yfinance.Ticker object <008930.KS>, row: 672
[2024-03-03 13:49:01] udpate moving average: yfinance.Ticker object <000120.KS>, row: 672
[2024-03-03 13:49:05] udpate moving average: yfinance.Ticker object <006260.KS>, row: 672
[2024-03-03 13:49:07] udpate moving average: yfinance.Ticker object <001040.KS>, row: 672
[2024-03-03 13:49:11] udpate moving average: yfinance.Ticker object <001450.KS>, row: 672
[2024-03-03 13:49:14] udpate moving average: yfinance.Ticker object <383220.KS>, row: 672
[2024-03-03 13:49:17] udpate moving average: yfinance.Ticker object <088350.KS>, row: 672
[2024-03-03 13:49:20] udpate moving average: yfinance.Ticker object <052690.KS>, row: 672
[2024-03-03 13:49:23] udpate moving average: yfinance.Ticker object <036460.KS>, row: 672
[2024-03-03 13:49:26] udpate moving average: yfinance.Ticker object <028670.KS>, row: 672
[2024-03-03 13:49:28] udpate moving average: yfinance.Ticker object <175330.KS>, row: 672
[2024-03-03 13:49:32] udpate moving average: yfinance.Ticker object <010620.KS>, row: 672
[2024-03-03 13:49:35] udpate moving average: yfinance.Ticker object <138930.KS>, row: 672
[2024-03-03 13:49:38] udpate moving average: yfinance.Ticker object <002380.KS>, row: 672
[2024-03-03 13:49:42] udpate moving average: yfinance.Ticker object <008770.KS>, row: 672
[2024-03-03 13:49:46] udpate moving average: yfinance.Ticker object <007070.KS>, row: 672
[2024-03-03 13:49:50] udpate moving average: yfinance.Ticker object <081660.KS>, row: 672
[2024-03-03 13:49:54] udpate moving average: yfinance.Ticker object <051915.KS>, row: 672
[2024-03-03 13:49:58] udpate moving average: yfinance.Ticker object <282330.KS>, row: 672
[2024-03-03 13:59:18] udpate moving average: 005930.KS, row: 0
[2024-03-03 13:59:21] udpate moving average: 000660.KS, row: 0
[2024-03-03 13:59:22] udpate moving average: 373220.KS, row: 0
[2024-03-03 13:59:23] udpate moving average: 207940.KS, row: 0
[2024-03-03 13:59:23] udpate moving average: 005380.KS, row: 0
[2024-03-03 13:59:24] udpate moving average: 005935.KS, row: 0
[2024-03-03 13:59:24] udpate moving average: 000270.KS, row: 0
[2024-03-03 13:59:25] udpate moving average: 068270.KS, row: 0
[2024-03-03 13:59:25] udpate moving average: 005490.KS, row: 0
[2024-03-03 13:59:26] udpate moving average: 051910.KS, row: 0
[2024-03-03 13:59:27] udpate moving average: 035420.KS, row: 0
[2024-03-03 13:59:27] udpate moving average: 028260.KS, row: 0
[2024-03-03 13:59:28] udpate moving average: 006400.KS, row: 0
[2024-03-03 13:59:28] udpate moving average: 105560.KS, row: 0
[2024-03-03 13:59:29] udpate moving average: 003670.KS, row: 0
[2024-03-03 13:59:30] udpate moving average: 035720.KS, row: 0
[2024-03-03 13:59:30] udpate moving average: 012330.KS, row: 0
[2024-03-03 13:59:31] udpate moving average: 055550.KS, row: 0
[2024-03-03 13:59:31] udpate moving average: 032830.KS, row: 0
[2024-03-03 13:59:32] udpate moving average: 138040.KS, row: 0
[2024-03-03 13:59:32] udpate moving average: 086790.KS, row: 0
[2024-03-03 13:59:33] udpate moving average: 015760.KS, row: 0
[2024-03-03 13:59:34] udpate moving average: 066570.KS, row: 0
[2024-03-03 13:59:34] udpate moving average: 003550.KS, row: 0
[2024-03-03 13:59:35] udpate moving average: 000810.KS, row: 0
[2024-03-03 13:59:35] udpate moving average: 034730.KS, row: 0
[2024-03-03 13:59:36] udpate moving average: 323410.KS, row: 0
[2024-03-03 13:59:36] udpate moving average: 450080.KS, row: 0
[2024-03-03 13:59:37] udpate moving average: 011200.KS, row: 0
[2024-03-03 13:59:37] udpate moving average: 033780.KS, row: 0
[2024-03-03 13:59:38] udpate moving average: 018260.KS, row: 0
[2024-03-03 13:59:38] udpate moving average: 096770.KS, row: 0
[2024-03-03 13:59:39] udpate moving average: 017670.KS, row: 0
[2024-03-03 13:59:40] udpate moving average: 316140.KS, row: 0
[2024-03-03 13:59:40] udpate moving average: 024110.KS, row: 0
[2024-03-03 13:59:41] udpate moving average: 259960.KS, row: 0
[2024-03-03 13:59:41] udpate moving average: 329180.KS, row: 0
[2024-03-03 13:59:42] udpate moving average: 009150.KS, row: 0
[2024-03-03 13:59:42] udpate moving average: 034020.KS, row: 0
[2024-03-03 13:59:43] udpate moving average: 030200.KS, row: 0
[2024-03-03 13:59:43] udpate moving average: 047050.KS, row: 0
[2024-03-03 13:59:44] udpate moving average: 402340.KS, row: 0
[2024-03-03 13:59:44] udpate moving average: 012450.KS, row: 0
[2024-03-03 13:59:45] udpate moving average: 010130.KS, row: 0
[2024-03-03 13:59:46] udpate moving average: 010950.KS, row: 0
[2024-03-03 13:59:46] udpate moving average: 003490.KS, row: 0
[2024-03-03 13:59:47] udpate moving average: 352820.KS, row: 0
[2024-03-03 13:59:47] udpate moving average: 042700.KS, row: 0
[2024-03-03 13:59:48] udpate moving average: 022100.KS, row: 0
[2024-03-03 13:59:49] udpate moving average: 009540.KS, row: 0
[2024-03-03 13:59:49] udpate moving average: 326030.KS, row: 0
[2024-03-03 13:59:50] udpate moving average: 042660.KS, row: 0
[2024-03-03 13:59:50] udpate moving average: 086280.KS, row: 0
[2024-03-03 13:59:51] udpate moving average: 090430.KS, row: 0
[2024-03-03 13:59:51] udpate moving average: 005830.KS, row: 0
[2024-03-03 13:59:52] udpate moving average: 010140.KS, row: 0
[2024-03-03 13:59:52] udpate moving average: 161390.KS, row: 0
[2024-03-03 13:59:53] udpate moving average: 066970.KS, row: 0
[2024-03-03 13:59:54] udpate moving average: 377300.KS, row: 0
[2024-03-03 13:59:54] udpate moving average: 005387.KS, row: 0
[2024-03-03 13:59:55] udpate moving average: 005070.KS, row: 0
[2024-03-03 13:59:55] udpate moving average: 001570.KS, row: 0
[2024-03-03 13:59:56] udpate moving average: 267250.KS, row: 0
[2024-03-03 13:59:56] udpate moving average: 088980.KS, row: 0
[2024-03-03 13:59:57] udpate moving average: 006800.KS, row: 0
[2024-03-03 13:59:57] udpate moving average: 000100.KS, row: 0
[2024-03-03 13:59:58] udpate moving average: 251270.KS, row: 0
[2024-03-03 13:59:59] udpate moving average: 011170.KS, row: 0
[2024-03-03 13:59:59] udpate moving average: 361610.KS, row: 0
[2024-03-03 14:00:00] udpate moving average: 047810.KS, row: 0
[2024-03-03 14:00:00] udpate moving average: 051900.KS, row: 0
[2024-03-03 14:00:01] udpate moving average: 028050.KS, row: 0
[2024-03-03 14:00:01] udpate moving average: 004020.KS, row: 0
[2024-03-03 14:00:02] udpate moving average: 454910.KS, row: 0
[2024-03-03 14:00:03] udpate moving average: 011070.KS, row: 0
[2024-03-03 14:00:03] udpate moving average: 009830.KS, row: 0
[2024-03-03 14:00:04] udpate moving average: 302440.KS, row: 0
[2024-03-03 14:00:04] udpate moving average: 241560.KS, row: 0
[2024-03-03 14:00:05] udpate moving average: 097950.KS, row: 0
[2024-03-03 14:00:05] udpate moving average: 032640.KS, row: 0
[2024-03-03 14:00:06] udpate moving average: 267260.KS, row: 0
[2024-03-03 14:00:06] udpate moving average: 078930.KS, row: 0
[2024-03-03 14:00:07] udpate moving average: 029780.KS, row: 0
[2024-03-03 14:00:07] udpate moving average: 128940.KS, row: 0
[2024-03-03 14:00:08] udpate moving average: 036570.KS, row: 0
[2024-03-03 14:00:08] udpate moving average: 011780.KS, row: 0
[2024-03-03 14:00:09] udpate moving average: 180640.KS, row: 0
[2024-03-03 14:00:09] udpate moving average: 307950.KS, row: 0
[2024-03-03 14:00:10] udpate moving average: 034220.KS, row: 0
[2024-03-03 14:00:10] udpate moving average: 021240.KS, row: 0
[2024-03-03 14:00:11] udpate moving average: 071050.KS, row: 0
[2024-03-03 14:00:12] udpate moving average: 005940.KS, row: 0
